# k bin_0 bin_1
4.975 7.18494917693882e-12 3.4897506708541426e-07
5.025 6.187657511005878e-12 2.9731707888022743e-07
5.075000000000001 5.326682760981281e-12 2.5321263469705216e-07
5.125 4.583727260830152e-12 2.155729664223962e-07
5.175000000000001 3.942896253114928e-12 1.8346359110902082e-07
5.225 3.390390766996925e-12 1.5608289422168787e-07
5.275 2.914238409459723e-12 1.3274361053122773e-07
5.325000000000001 2.5040576036437956e-12 1.1285682333659159e-07
5.375 2.1508512997141447e-12 9.591815018589653e-08
5.425000000000001 1.846826626821411e-12 8.149582518495918e-08
5.475 1.5852373532561124e-12 6.922042491424108e-08
5.525 1.3602463794571926e-12 5.877601746111076e-08
5.575000000000001 1.16680580871084e-12 4.9892542604167295e-08
5.625 1.0005524264377615e-12 4.233925620427034e-08
5.675000000000001 8.577166741580402e-13 3.5919093764104834e-08
5.725 7.350434313657166e-13 3.0463827275368553e-08
5.775 6.297231204929324e-13 2.5829906203634417e-08
5.825000000000001 5.393318293227994e-13 2.189488805494755e-08
5.875 4.617793040058018e-13 1.8554376683234748e-08
5.925000000000001 3.9526380632298783e-13 1.571939756313253e-08
5.975 3.3823295300519816e-13 1.3314148872478204e-08
6.025 2.893497644752263e-13 1.1274075582761146e-08
6.075000000000001 2.4746324695677137e-13 9.544221003622358e-09
6.125 2.1158291691453508e-13 8.077816509512558e-09
6.175000000000001 1.808567515547076e-13 6.835075616591018e-09
6.225 1.5455211479591198e-13 5.7821632845770455e-09
6.275 1.3203926574812447e-13 4.890315386958676e-09
6.325000000000001 1.1277710726569175e-13 4.135086807306393e-09
6.375 9.6300876386011e-14 3.495709652560543e-09
6.425000000000001 8.221151718385223e-14 2.9545456899603197e-09
6.475 7.016651041770725e-14 2.4966193685132834e-09
6.525 5.987196391018692e-14 2.109219727159554e-09
6.575000000000001 5.1075793403691284e-14 1.781561162366968e-09
6.625 4.356184613555692e-14 1.504494464579545e-09
6.675000000000001 3.714483898101038e-14 1.2702607676825814e-09
6.725 3.1666000084053306e-14 1.0722821161625953e-09
6.775 2.6989317749434597e-14 9.049832649592484e-10
6.825000000000001 2.2998313283691617e-14 7.63640107940523e-10
6.875 1.9593265693838795e-14 6.442508004866291e-10
6.925000000000001 1.668882589621108e-14 5.434262154091833e-10
6.975 1.4211966542412254e-14 4.5829686280487674e-10
7.025 1.2100220901567643e-14 3.8643382505083625e-10
7.075000000000001 1.0300170592674897e-14 3.257816179998939e-10
7.125 8.766147465044326e-15 2.7460119715053017e-10
7.175000000000001 7.459119689823604e-15 2.3142159057470168e-10
7.225 6.34573624803849e-15 1.9499886507649323e-10
7.275 5.3975075657582035e-15 1.6428132392021855e-10
7.325000000000001 4.59010312788286e-15 1.3837999823028587e-10
7.375 3.9027495637687134e-15 1.1654363388165396e-10
7.425000000000001 3.3177149958313165e-15 9.813749484966256e-11
7.475 2.8198674254290747e-15 8.262540555662861e-11
7.525 2.3962966408822704e-15 6.955454129905795e-11
7.575000000000001 2.0359906073297114e-15 5.854254955641131e-11
7.625 1.7295585690764008e-15 4.92666477475097e-11
7.675000000000001 1.468994189883251e-15 4.1454396421006214e-11
7.725 1.2474729993194302e-15 3.4875892316349125e-11
7.775 1.0591792245876848e-15 2.9337164386671694e-11
7.825000000000001 8.99157785220425e-16 2.4674588739385297e-11
7.875 7.631878282548152e-16 2.075016638178511e-11
7.925000000000001 6.476746974726413e-16 1.7447531390151247e-11
7.975 5.495576736509588e-16 1.4668577276658183e-11
8.025 4.662312035973917e-16 1.233060644205926e-11
8.075 3.954776627479343e-16 1.036392212819976e-11
8.125 3.354099767812305e-16 8.709794610355838e-12
8.175 2.8442266852166215e-16 7.318743825308738e-12
8.225000000000001 2.4115010297901036e-16 6.149089498019697e-12
8.275 2.0443088048178552e-16 5.165727347086249e-12
8.325 1.7327747968041308e-16 4.339096320449461e-12
8.375 1.468503822819874e-16 3.644307211309155e-12
8.425 1.2443602281184119e-16 3.060407577175413e-12
8.475000000000001 1.0542800211757492e-16 2.569761757647253e-12
8.525 8.931108502058589e-17 2.157528065251457e-12
8.575 7.564757242832449e-17 1.8112179988716484e-12
8.625 6.406569802973397e-17 1.5203246776946493e-12
8.675 5.424975085363728e-17 1.2760096803471489e-12
8.725000000000001 4.593166870977235e-17 1.0708391542779726e-12
8.775 3.8883884923188015e-17 8.985614813678554e-13
8.825 3.2913242725428186e-17 7.539199869983157e-13
8.875 2.7855818965367716e-17 6.324951951174624e-13
8.925 2.3572522118727943e-17 5.305719897915242e-13
8.975000000000001 1.9945349485864538e-17 4.450277685563843e-13
9.025 1.6874205463068184e-17 3.732382851067951e-13
9.075 1.4274197279926042e-17 3.129983958661784e-13
9.125 1.2073336970931496e-17 2.6245536148488503e-13
9.175 1.0210588909081343e-17 2.2005272277871967e-13
9.225000000000001 8.634211232496019e-18 1.8448308158575137e-13
9.275 7.300347173130249e-18 1.546483794088026e-13
9.325 6.171828840941323e-18 1.296264880685712e-13
9.375 5.217161594079135e-18 1.0864311329931105e-13
9.425 4.409661878364147e-18 9.104816966970557e-14
9.475000000000001 3.726725466972593e-18 7.629591796608495e-14
9.525 3.1492064794947453e-18 6.392826808671549e-14
9.575000000000001 2.660890494832193e-18 5.3560744820189575e-14
9.625 2.2480475718499907e-18 4.4870693367947045e-14
9.675 1.8990531186693047e-18 3.758736844303368e-14
9.725000000000001 1.604066361652004e-18 3.148360719527397e-14
9.775 1.3547577050631455e-18 2.6368833732299412e-14
9.825000000000001 1.1440775823697622e-18 2.208318302344995e-14
9.875 9.660605141191184e-19 1.849256566823772e-14
9.925 8.156590346178206e-19 1.548452337737975e-14
9.975000000000001 6.886029548334492e-19 1.2964748891263387e-14
10.025 5.8128011344732205e-19 1.0854164155519583e-14
10.075000000000001 4.906353495610299e-19 9.086467482688445e-15
10.125 4.140849247826837e-19 7.606074655600968e-15
10.175 3.4944404220900835e-19 6.366390895937412e-15
10.225000000000001 2.9486546637978727e-19 5.32836068763385e-15
10.275 2.4878755107464496e-19 4.4592509103492814e-15
10.325000000000001 2.0989023889092233e-19 3.731629856609015e-15
10.375 1.7705781479385538e-19 3.122510691054979e-15
10.425 1.4934738104259377e-19 2.612632941293154e-15
10.475000000000001 1.2596217810128665e-19 2.1858598385668307e-15
10.525 1.0622900950414678e-19 1.8286728803744633e-15
10.575000000000001 8.957914179704092e-20 1.5297479735083209e-15
10.625 7.553214664445369e-20 1.2796000251198537e-15
10.675 6.368223358307524e-20 1.0702849573192209e-15
10.725000000000001 5.368669091665109e-20 8.951498914277603e-16
10.775 4.5256110758538443e-20 7.48623735112211e-16
10.825000000000001 3.8146123827049446e-20 6.260416544799349e-16
10.875 3.215041163745324e-20 5.234979618543415e-16
10.925 2.7094799358084433e-20 4.3772283037161573e-16
10.975000000000001 2.28322627837339e-20 3.6597898564444327e-16
11.025 1.9238708451676157e-20 3.059751451366369e-16
11.075000000000001 1.620940758690482e-20 2.5579349659207925e-16
11.125 1.3655982909797673e-20 2.1382894383493499e-16
11.175 1.1503862875135787e-20 1.7873821492838585e-16
11.225000000000001 9.690131066574318e-21 1.4939723532415513e-16
11.275 8.161709606845589e-21 1.24865426728653e-16
11.325000000000001 6.873824871840605e-21 1.0435580891243777e-16
11.375 5.7887117749103834e-21 8.720996328168799e-17
11.425 4.8745196406589045e-21 7.287706932672215e-17
11.475000000000001 4.104388400493907e-21 6.089635277674138e-17
11.525 3.455668676445097e-21 5.0882391378895584e-17
11.575000000000001 2.909263408761304e-21 4.251281400572679e-17
11.625 2.4490721416904817e-21 3.551800406638318e-17
11.675 2.061522007046433e-21 2.967248129412838e-17
11.725000000000001 1.735171918778252e-21 2.4787688869667877e-17
11.775 1.4603785833981737e-21 2.0705957164675175e-17
11.825000000000001 1.2290146992682742e-21 1.7295452535420253e-17
11.875 1.034231212586209e-21 1.4445950722589716e-17
11.925 8.702567612670997e-22 1.2065300493323392e-17
11.975000000000001 7.322285057021951e-22 1.007646501137813e-17
12.025 6.160494476417025e-22 8.415046725638767e-18
12.075000000000001 5.1826810084730405e-22 7.027216899975375e-18
12.125 4.359770212425426e-22 5.867983749985468e-18
12.175 3.6672724840811637e-22 4.899743908012897e-18
12.225000000000001 3.0845616983332484e-22 4.091070945305746e-18
12.275 2.5942670751135064e-22 3.415702222843707e-18
12.325000000000001 2.181760542273586e-22 2.8516916579355252e-18
12.375 1.8347246369329864e-22 2.3807012813651486e-18
